'+++++++++++++++++++++
Qualify
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Qualify"
Track:, "vir, north course_prc"
Pole, "NotJames(01:36.8420)"
Lasted laps, "9"
Host, "Unknown"



Qualify result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "", "ks_mazda_mx5_cup", "NotJames", "8", "01:36.8420", "-",
"2",   "", "", "ks_mazda_mx5_cup", "MrGrinder", "7", "01:37.1050", "00:00.2630",
"3",   "", "", "ks_mazda_mx5_cup", "McLarenTim", "9", "01:37.2720", "00:00.4300",
"4",   "", "", "ks_mazda_mx5_cup", "maestro", "8", "01:37.5420", "00:00.7000",
"5",   "", "", "ks_mazda_mx5_cup", "gunciz", "9", "01:37.5730", "00:00.7310",
"6",   "", "", "ks_mazda_mx5_cup", "NihonTiger", "9", "01:37.7930", "00:00.9510",
"7",   "", "", "ks_mazda_mx5_cup", "PhotonBurst", "9", "01:37.7950", "00:00.9530",
"8",   "", "", "ks_mazda_mx5_cup", "Salzeder", "9", "01:37.9240", "00:01.0820",
"2 ", ks_mazda_mx5_cup, no,"0", "03:26.2170", "151.3170", "23.1610", "31.7390",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "02:00.8240", "45.3500", "22.4690", "53.0050",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:39.2050", "45.7140", "21.9680", "31.5230",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "02:09.5650", "72.6620", "24.2240", "32.6790",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "01:40.8730", "46.0310", "22.1720", "32.6700",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:38.2490", "45.4550", "21.6820", "31.1120",  "F:H - R:H",     
Average,,,"02:05.5552", "68.0201", "22.5811", "34.9540"
Best possible,,, "01:38.1440", "45.3500", "21.6820", "31.1120"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Waffles"
"1 ", ks_mazda_mx5_cup, no,"0", "02:27.8930", "93.0210", "21.9460", "32.9260",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:39.0520", "45.5880", "22.1750", "31.2890",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "01:38.3750", "45.4600", "21.6850", "31.2300",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:38.2560", "45.1640", "21.6370", "31.4550",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "01:40.4760", "45.7640", "22.3160", "32.3960",  "F:H - R:H",     
